Originally a survey platform focused on high engagement and real-time results. Now acquired by QuestionPro and integrated into their Research Edition.	URL	Account email	Bought From	Email at Bought From	Plan Level	Cost
SyncSpider $	https://app.syncspider.com/app/					
TexAu	https://texau.app/public-recipes					
Text-to-Speech Converter	https://naturaltts.com/convert					
DEPRICATED- OUT OF BUSINESS -Timelinr Personal Plan: Lifetime Subscription	https://www.timelinr.com/					$49.99
Tocked	https://tockedapp.com/login					
TopicMojo	https://topicmojo.com/app/model					
UltimateTrafficBoost	https://ultimatetrafficboost.com/dashboard					56
UppBeat Music	https://uppbeat.io/my/account#your-uppbeat-plan					
VatrinaLive	https://admin.vetrinalive.com/	owner@example.com,admin@marketreferral.com,admin@fineproductsandservices.com,admin@bizsynth.com				
Vbout	https://app.vbout.com/Login/					
VideoReel	https://app.videoreel.io/					
VideoCopyDyno	https://video.copydyno.com/signin					
videotik	https://app.videotik.io/login					
Viral Loops	https://app.viral-loops.com/#/campaigns					$248.40
Virtual Backgrounds for Video Conferencing	zip					8
Virusdie	https://virusdie.com/websites/	owner@example.com,admin@bizsynth.com			Plan C Agency Branded + Unlimited websites, $390 Agency Plan A- 25 sites	
VSLMaker	http://app.vslmaker.com					
whitelabel studio	https://app.whitelabelstudio.io					$27.00
WOXO	https://woxo.tech/					
WP Fluent Forms Pro	https://wpmanageninja.com/account/dashboard/					499.37
WPvivid Installer-Bundle Plan - Ultimate - Lifetime	https://wpvivid.com/pricing	owner@example.com				$239.20
YayImages(2 years from Aug-21						
Your Virtual 3D Exhibit in Augmented Reality + LT Hosting x3						$45.90
ZoHo Free	https://accounts.zoho.com/signin?servicename=ZohoHome&signupurl=https://www.zoho.com/signup.html					
DialCaller	https://login012.com/dialcaller/my-account/numbers/	User-BizSynth,owner@example.com				
VideoSDK	https://app.videosdk.live/dashboard					
QApop -Quora App	https://app.qapop.com/					
VideoCampaignor	https://www.videocampaignor.com/login	owner@example.com				150
4brand	https://4brand.app/dashboard	owner@example.com				
Binstaapp	https://app.binstaapp.io/login					
AgencyReel	https://agency.reelapps.io/create-video	owner@example.com				
HaoWebinar Unlimited Reseller Pro [Access]	https://app.directpay.io/customer/purchase-access/5uUXydrZi4qK8O2v7oEdAGGznmMxNBOIueCf+ql0PcA=					
CommissionPages	https://cppages.com/user/index.php?cmd=home	owner@example.com				
Loophole Commissions	https://s6m5czdrqs.productdyno.com/p/17022/loophole-commissions	owner@example.com				
Copysmith	https://app.copysmith.ai/login/					
Mailjam	https://mailjam.co/					
MethodX	https://grabmethodx.com/membership-area1602603058765					
ArbitragePro	https://arbitragepro.net/members/index.php	owner@example.com				
Slick Video Templates	https://slick.isolic.net/	owner@example.com				
Maxima	https://mymaximaapp.com/dashboard	owner@example.com	9IkF			
1Link Master reseller	https://www.notion.so/1Link-Reseller-Unlimited-GAIRE-GROUP-0cc4813ff3fe46ab8c66fee35ddfc3f5					
Affiliate Cloner	https://affiliateautobot.com/create/create-new-account.html					
Group Collector Chrome Extension	https://app.groupcollector.com/group					69
YouZign	https://youzign.com/					
Videract	https://app.videract.com/					
Webbyo	https://app.getwebbyo.com/dashboard/readymadewebinars					
UpReacher	https://app.upreachr.com/Search					
VoiceReel	https://voice.reelapps.io/					
Giveaway Profits	https://giveawayprofits.info/user/index.php?cmd=home		promote@#01			
Motion Animation Pro	https://supergoodproduct.com/members-area/downloads-motionanimationpro/					
	https://socialconnect.io/chat/chat.php?cid=337					
	http://socialconnect.io/chat/chat.php?cid=581					
LetReach	https://app.letreach.com/					
EverSuite	https://eversuite.memberportal.io/site/183429/my-products					
SkillZapp	https://skilzapp.io/members/dashboard	owner@example.com				
Funnlbot	https://www.pro.club/funnelbot/					
	https://www.pro.club/software					
HighTicketHijack	https://hightickethijack.info/user/index.php?cmd=home					
AdsightPro	https://app.adsightpro.com/login					
SocialSurveys	https://socialsurveys.io/members/manageclients.php					
	http://trafficfresh.io/					
	http://trafficfresh.io/members/curationeos/					
	http://affiliatetitanx.com/dltitan/afftitanx.html					
	https://canvas.adsightpro.com/					
	https://engagr.io/members/dashboard.php					
	https://www.cbmoneyvine.com/members/index.php					
	https://sendiio.com/auth/login					
	https://app.emailramp.com/members/					
	https://extempore.io/login					
	https://app.postley.io/					
	https://imworkers.com/login/dashboard.php					
	https://imworkers-app.com/Reputation-Power-Ranker-APP/dashboard.php					
	https://imworkers.com/login/website_creation.php					
	http://digitalproductpro.valueaddon.com/					
	http://webinarmastery.valueaddon.com					
	https://tubesiphon.info/					
	https://bigticketcommissions.info/user/					
	https://commissionreplicator.info/user/					
	https://digifunnellab.info/user/					
	https://freebiecommissions.info/user/					
	https://1kdailysystem.info/user/					
	https://leadmonster.io/members/		admin@bizsynth.com			
	https://app.profilemate.com/					
PressPlay	https://v2.pressplay.io/ 					
	https://app.viralmobil.io/					
	https://app.easywebvideo.com/					
	https://appskit.pro/app/danielgoldbergadmin					
	https://app.affiliatecloner.co/					
	http://www.manageclients.io/reseller/faq.php					
	http://socialsuite.io/					
	https://account.expressware.c					
	https://listify.expressware.co/welcome/					
	https://bizsynth.compareshop.co/					
	http://www.affiliatepromoformula.com/					
WordPress Automatic Plugin	https://themeforest.net/					
WordPress Multisite Content Copier/Updater	https://themeforest.net/					
WPBakery Page Builder for WordPress	https://themeforest.net/					
ARVO	https://aisoftllc.com/Arvo/dashboard.php			Live Youtube Streeming of Others Creative Commons Vids		
ProWebVentures	https://users.prowebventures.com/member					
Zaxxa	https://www.zaxaa.com/login					
engagbot	https://app.engagbot.com/					
MyIMuniversity	https://www.myimuniversity.com/login					
Affihub	https://members.affihub.net/					
StorieBot	https://storiebot.io					
VoiceBuddy	https://aisoftllc.com/VoiceBuddy/					
Flickstr	https://flickstr.com/members/					
1 Click Affiliate	https://www.autojvx.com/copyx/login					
Qpop	https://app.qapop.com/login					
Zsuite	https://members.zuitte.com/operations/management/public/login					
Founders Suite	https://foundersuite.com/					
LeadCloser	https://live.leadklozer.com/					
Termageddon	https://app.termageddon.com/					
Pitch.link	https://bizsynth.pitch.link/admin/homes					
TubeGrowthz	https://tubegrowthz.com/home/login					
https://ecomvideomaker.com/login	https://ecomvideomaker.com/login					
Fractal Filters	https://app.gumroad.com/d/e054901296689955901e348c3f220b7c					
Affiliate Egg Products	https://www.keywordrush.com/panel					
PageMaker	https://www.pagemaker.io/					
Viddyoze	https://app.viddyoze.com/login					
Meetvio	https://app.meetvio.com/site/login					
Sertifier	https://app.sertifier.com/					
Hunter	https://hunter.io/					
GroundTruth	groundtruth.com					
AffiliateSites	http://affilisites.info/					
	https://members.profitlynk.com/account/member					
	https://bestsoftwareaccess.com/amember/member					
	https://app.conversiobot.com/					
	https://get.cryptobrowser.site/en/					
VSL Bundle	https://customer.paydotcom.com/dashboard					
Meetvio	https://app.meetvio.com/					
	https://www.pro.club/					
MarketPresso	https://marketpresso.com/					
AgencyReel	https://app.agencyreel.io/					
	https://www.igmoneytree.com/		admin@bizsynth.com	yfflvcrw		
HeySummit	https://app.heysummit.com/accounts/login/		admin@bizsynth.com			
FindThatLead	https://app.findthatlead.com/dashboard/login#signup					
Scrab.in	https://scrab.in/en					
AffiliateTrafficBots	https://affiliatetrafficbots.com/download?cbaffi=THEAIVIDEO&cbfid=39145&cbitems=110&cbpop=C7B5E21B&cbreceipt=8YZI2NK3&ccountry=US&cemail=whodaniel%40yahoo.com&cname=Daniel+Goldberg&coupon=get50off&czip=14612&item=110&time=1575260954&vtid=cbfront					
Ubub	http://ubub.com/manage					
NicheMoney	https://www.pro.club/nichemoney/					
LiveReel	https://app.livereel.io/					
DesignBundle	https://app.designbundle.io/					
ClickFomo	app.clickfomo.com					
Rebrands	https://members.rebrands.io/		owner@example.com	673205C944		
	https://dashboard.mintware.io/					
CoachZippy	https://app.coachzippy.com/dashboard					
BlockSurvey	https://blocksurvey.io/dashboard					
DialCaller Reseller	https://app.directpay.io/customer/purchase-access/YQTk+I/dteWib0mxHh3JjIWUuSgFvpv/6HYQRpcQvLk=					
DialCaller	https://login012.com/dialcaller/my-account/numbers/			BizSynth		
Email Octopus	https://emailoctopus.com/					
Blocksy WP Theme	https://creativethemes.com/					
Pictory	https://app.pictory.ai/			owner@example.com		
Postaga	https://app.postaga.com/login/?redirect_to=/					
